dog_breed,category,datadog_score,popularity_in_us,lifetime_cost_usd,intelligence_trainability_ranking,intelligence_trainability_percent,longevity_years,longevity_percent,num_genetic_ailments,genetic_ailments_percent,avg_purchase_price_us,avg_purchase_price_us_percent,food_costs_yearly_usd,food_costs_yearly_percent,grooming_required,grooming_required_percent,suitability_for_children_score,suitability_for_children_percent,ultimate top_dog_mega_score_kids,ultimate_top_data_dog_mega_ranking_no_kids,ultimate_top_data_dog_mega_ranking_kids,ultimate_top_dog_mega_score,popularity_rating,size_category,weight_kg,weight_lbs,shoulder_height_cm,shoulder_height_in,intelligence_category,repetitions_new_commands,obey_first_command_percent,longevity_sample_size,genetic_diseases_congenital,congenital_ailments_areas_affected,lifetime_cost_usd.1,lifetime_cost_percent,avg_purchase_price_usd,price_category,lowest_usd,highest_usd,avg_food_weekly_â£,min_gpb,max_gpb,food_weekly_usd,food_yearly_usd,food_lifetime_usd,other_costs_total_usd,total_yearly_usd,total_yearly_gbp,treats_enrichment_yearly_gpb,pet_sitters_yearly_gbp,grooming_yearly_gbp,vet_fees_yearly_gbp,startup_costs
Cavalier King Charles Spaniel,toy,2.57,21,18639.0,44,0.48,11.29,0.46,2,0.78,1017,0.28,324.0,0.68,2,0.75,1,1.0,3.95,50.0,35.0,2.57,21.0,small,7,15.5,32,12.5,Average,25-40,>50,829,"heart, spinal problems","Mitral valve dysplasia, Chiari-like malformation (CM) and syringomyelia (SM)",16169,0.66,1017,mid-price,100,1800,4,4,4,5.34,278.0,3144,11809,1046,784,121,126,244,177,200
Dalmatian,non-sporting,2.57,73,19886.0,39,0.55,11.27,0.45,2,0.78,695,0.61,466.0,0.23,2,0.75,1,1.0,3.95,50.0,35.0,2.57,73.0,medium,no data,no data,53,21,Above average,15-25,>70,404,"deafness, urinary stones","Deafness, Urolithiasis (stones)",17194,0.52,695,budget,350,1000,5.75,4,7.5,7.67,400.0,4511,11788,1046,784,121,126,244,177,200
Basset Hound,hound,2.54,41,18328.0,71,0.11,11.43,0.48,2,0.78,490,0.91,324.0,0.68,2,0.75,1,1.0,3.92,53.0,39.0,2.54,41.0,small,no data,no data,36,14,Lowest,80-100,<25,152,"blood, skin disorders","Platelet dysfunction (thrombocytopathia, Basset hound thrombopathia), seborrhea",15827,0.72,490,budget,150,1000,4,4,4,5.34,278.0,3183,11955,1046,784,121,126,244,177,200
Basenji,hound,2.51,93,22096.0,79,0.02,13.58,0.94,3,0.67,940,0.32,324.0,0.68,2,0.75,2,0.5,3.38,54.0,59.0,2.51,93.0,medium,10,23,42,16.5,Lowest,80-100,<25,46,"kidney, eye problems, anaemia","Fanconi syndrome, Persistent pupillary membranes (PPM), Pyruvate kinase (PK) deficiency",19125,0.18,940,mid-price,600,1200,4,4,4,5.34,278.0,3781,14204,1046,784,121,126,244,177,200
Italian Greyhound,toy,2.49,65,16463.0,60,0.24,10.02,0.28,0,1.0,800,0.52,324.0,0.68,2,0.75,3,0.0,2.86,55.0,77.0,2.49,65.0,small,no data,no data,36,14,Fair,40-80,>30,203,none,none,14270,0.86,800,mid-price,500,120,4,4,4,5.34,278.0,2790,10480,1046,784,121,126,244,177,200
Staffordshire Bull Terrier,terrier,2.48,76,21650.0,49,0.37,12.05,0.66,1,0.89,1145,0.16,466.0,0.23,2,0.75,1,1.0,3.86,56.0,41.0,2.48,76.0,medium,14,31,38,15,Average,25-40,>50,157,hip problems,hip dysplasia,18772,0.25,1145,mid-price,500,1500,5.75,4,7.5,7.67,400.0,4823,12604,1046,784,121,126,244,177,200
Bouvier des Flandres,herding,2.47,83,18959.0,29,0.72,10.34,0.33,1,0.89,1335,0.06,466.0,0.23,2,0.75,1,1.0,3.84,57.0,42.0,2.47,83.0,large,no data,no data,65,25.5,Above average,15-25,>70,1079,hip problems,hip dysplasia,16489,0.62,1335,mid-price,800,2500,5.75,4,7.5,7.67,400.0,4139,10815,1046,784,121,126,244,177,200
Pembroke Welsh Corgi,herding,2.45,25,23978.0,11,0.89,12.25,0.69,9,0.0,587,0.79,674.0,0.21,2,0.75,1,1.0,3.82,58.0,43.0,2.45,25.0,small,12,26,28,11,Excellent,15-May,>85,116,"cataracts + other eye problems, connective tissue, nerves, kidneys, spine, blood clotting disorders","Cataracts, Corneal dystrophy, Cutaneous asthenia (Ehlers-Danlos syndrome), Degenerative myelopathy, Familial kidney disease, Intervertebral disk disease, Persistent pupillary membranes (PPM), Retinal dysplasia, von Willebrand's disease",19625,0.13,587,budget,375,750,-,-,-,9,492.0,6026,12813,1046,784,121,126,244,177,200
Clumber Spaniel,sporting,2.44,133,18084.0,37,0.56,10.0,0.25,0,1.0,1033,0.26,466.0,0.23,2,0.75,1,1.0,3.81,59.0,44.0,2.44,133.0,medium,32,70,47,18.5,Above average,15-25,>70,301,none,none,15695,0.74,1033,mid-price,800,1500,5.75,4,7.5,7.67,400.0,4003,10459,1046,784,121,126,244,177,200
Dandie Dinmont Terrier,terrier,2.42,160,21633.0,62,0.22,12.17,0.67,0,1.0,925,0.33,466.0,0.23,1,0.5,1,1.0,3.67,60.0,49.0,2.42,160.0,small,10,21,23,9,Fair,40-80,>30,62,none,none,18725,0.26,925,mid-price,850,1000,5.75,4,7.5,7.67,400.0,4871,12729,1046,784,121,126,244,177,200
Saluki,hound,2.41,117,24866.0,43,0.49,12.0,0.61,0,1.0,1525,0.05,710.0,0.06,1,0.5,1,1.0,3.66,61.0,50.0,2.41,117.0,medium,no data,no data,58,23,Average,25-40,>50,132,none,none,21585,0.05,1525,high-end,1000,1800,8.75,7.5,10,11.67,609.0,7309,12551,1046,784,121,126,244,177,200
Giant Schnauzer,working,2.38,95,26686.0,28,0.74,10.0,0.25,1,0.89,810,0.49,1349.0,0.01,1,0.5,2,0.5,3.13,62.0,67.0,2.38,95.0,large,35,77.5,65,25.5,Above average,15-25,>70,39,hip problems,hip dysplasia,21307,0.06,810,mid-price,400,1500,-,-,-,19,984.0,9838,10459,1046,784,121,126,244,177,200
Greyhound,hound,2.29,140,15819.0,46,0.43,9.36,0.2,1,0.89,1175,0.14,324.0,0.68,2,0.75,1,1.0,3.67,63.0,48.0,2.29,140.0,large,29,65,no data,no data,Average,25-40,>50,74,blood vessel disorders,familial vasculopathy,13771,0.91,1175,mid-price,200,2500,4,4,4,5.34,278.0,2606,9790,1046,784,121,126,244,177,200
Scottish Terrier,terrier,2.27,54,17525.0,65,0.18,10.69,0.37,1,0.89,829,0.47,324.0,0.68,1,0.5,2,0.5,3.02,64.0,71.0,2.27,54.0,small,9,20,25,10,Fair,40-80,>30,342,blood clotting disorder,von Willebrand's disease,15187,0.78,829,mid-price,400,2200,4,4,4,5.34,278.0,2977,11181,1046,784,121,126,244,177,200
Rottweiler,working,2.24,10,18886.0,9,0.91,9.11,0.17,3,0.67,1118,0.18,710.0,0.06,2,0.75,2,0.5,3.12,65.0,68.0,2.24,10.0,large,no data,no data,62,24.5,Brightest,<5,>95,654,"heart, elbow, hip problems","Subaortic stenosis, Elbow dysplasia - OCD of the elbow, Hip dysplasia",16395,0.64,1118,mid-price,300,1800,8.75,7.5,10,11.67,609.0,5549,9529,1046,784,121,126,244,177,200
Kerry Blue Terrier,terrier,2.13,124,17240.0,35,0.61,9.4,0.21,1,0.89,1200,0.11,466.0,0.23,1,0.5,2,0.5,2.88,66.0,76.0,2.13,124.0,medium,17,36.5,47,18.5,Above average,15-25,>70,353,heart problems,Patent ductus arteriosus (PDA),14994,0.82,1200,mid-price,900,1500,5.75,4,7.5,7.67,400.0,3762,9832,1046,784,121,126,244,177,200
Afghan Hound,hound,2.08,88,24077.0,80,0.01,11.92,0.59,0,1.0,890,0.4,710.0,0.06,1,0.5,1,1.0,3.33,67.0,60.0,2.08,88.0,large,25,55,66,26,Lowest,80-100,<25,154,none,none,20818,0.1,890,mid-price,450,1000,8.75,7.5,10,11.67,609.0,7260,12468,1046,784,121,126,244,177,200
Newfoundland,working,2.07,43,19351.0,34,0.64,9.32,0.18,2,0.78,1178,0.13,710.0,0.06,2,0.75,1,1.0,3.45,68.0,58.0,2.07,43.0,large,57,125,69,27,Above average,15-25,>70,340,"hip problems, heart defects","subaortic stenosis, hip dysplasia",16802,0.57,1178,mid-price,500,2000,8.75,7.5,10,11.67,609.0,5677,9748,1046,784,121,126,244,177,200
German Shepherd,herding,2.06,2,17416.0,3,0.98,9.73,0.24,8,0.11,820,0.48,466.0,0.23,2,0.75,2,0.5,2.94,69.0,74.0,2.06,2.0,large,no data,no data,61,24,Brightest,<5,>95,795,"nerves, pancreas, blood (hemophilia), hip joints","Degenerative myelopathy (nerve disorder), Exocrine pancreatic insufficiency, Hemophilia, Hip dysplasia, Renal cystadenocarcinoma and nodular dermatofibrosis, Pannus - chronic superficial keratitis, Panosteitis, Perianal fistula

",15091,0.8,820,mid-price,400,1495,5.75,4,7.5,7.67,400.0,3895,10177,1046,784,121,126,244,177,200
Pekingese,toy,2.05,64,20565.0,74,0.08,11.56,0.51,1,0.89,885,0.41,466.0,0.23,1,0.5,2,0.5,2.8,70.0,78.0,2.05,64.0,small,6,13,no data,no data,Lowest,80-100,<25,94,knee problems,Patellar luxation,17803,0.39,885,mid-price,200,3800,5.75,4,7.5,7.67,400.0,4627,12091,1046,784,121,126,244,177,200
Old English Sheepdog,herding,2.04,84,22611.0,63,0.21,11.19,0.44,1,0.89,832,0.46,710.0,0.06,1,0.5,1,1.0,3.29,71.0,61.0,2.04,84.0,medium,no data,no data,56,22,Fair,40-80,>30,111,hip problems,hip dysplasia,19551,0.15,832,mid-price,500,1000,8.75,7.5,10,11.67,609.0,6816,11704,1046,784,121,126,244,177,200
Akita,working,1.95,47,20994.0,54,0.31,10.16,0.3,1,0.89,1202,0.1,710.0,0.06,2,0.75,3,0.0,2.33,72.0,86.0,1.95,47.0,large,no data,no data,66,26,Average,25-40,>50,192,hip problems,hip dysplasia,18217,0.34,1202,mid-price,565,1800,8.75,7.5,10,11.67,609.0,6188,10627,1046,784,121,126,244,177,200
Rhodesian Ridgeback,hound,1.91,44,16530.0,52,0.33,9.1,0.16,2,0.78,995,0.29,466.0,0.23,2,0.75,2,0.5,2.78,73.0,79.0,1.91,44.0,large,35,77.5,65,25.5,Average,25-40,>50,10,"birth defects, hip problems","dermoid sinus, Hip dysplasia",14355,0.85,995,mid-price,750,1300,5.75,4,7.5,7.67,400.0,3642,9518,1046,784,121,126,244,177,200
French Bulldog,non-sporting,1.9,18,17266.0,58,0.28,9.0,0.11,0,1.0,1900,0.03,466.0,0.23,2,0.75,1,1.0,3.27,74.0,62.0,1.9,18.0,medium,12,27,no data,no data,Fair,40-80,>30,71,none,none,15116,0.79,1900,high-end,1300,3500,5.75,4,7.5,7.67,400.0,3602,9414,1046,784,121,126,244,177,200
Borzoi,hound,1.89,102,16176.0,76,0.06,9.08,0.15,0,1.0,675,0.64,466.0,0.23,1,0.5,2,0.5,2.64,75.0,82.0,1.89,102.0,large,37,82.5,71,28,Lowest,80-100,<25,87,none,none,14007,0.89,675,budget,300,1250,5.75,4,7.5,7.67,400.0,3634,9497,1046,784,121,126,244,177,200
Bernese Mountain Dog,working,1.85,34,16099.0,22,0.78,7.56,0.07,4,0.56,1320,0.08,710.0,0.06,2,0.75,1,1.0,3.23,76.0,63.0,1.85,34.0,large,no data,no data,64,25.25,Excellent,15-May,>85,701,"meningitis, elbow + hip problems, complex immune disorder","Meningitis, Elbow dysplasia - OCD of the elbow, Hip dysplasia, Histiocytosis",14032,0.87,1320,mid-price,750,2500,8.75,7.5,10,11.67,609.0,4605,7907,1046,784,121,126,244,177,200
Bull Terrier,terrier,1.85,51,18490.0,66,0.17,10.21,0.31,2,0.78,1085,0.2,466.0,0.23,2,0.75,2,0.5,2.72,77.0,80.0,1.85,51.0,medium,27,60,55,21.5,Fair,40-80,>30,225,"heart problems, zinc metabolism disorder","lethal acrodermatitis, Mitral valve dysplasia",16051,0.68,1085,mid-price,300,1750,5.75,4,7.5,7.67,400.0,4087,10679,1046,784,121,126,244,177,200
Boxer,working,1.83,7,15746.0,48,0.39,8.81,0.1,4,0.56,700,0.59,466.0,0.23,2,0.75,1,1.0,3.21,78.0,64.0,1.83,7.0,medium,no data,no data,59,23.25,Average,25-40,>50,2112,"eye, nerve, heart problems","Corneal dystrophy, Degenerative myelopathy, Dilated cardiomyopathy, Subaortic stenosis",13641,0.94,700,mid-price,300,2500,5.75,4,7.5,7.67,400.0,3526,9215,1046,784,121,126,244,177,200
Alaskan Malamute,working,1.82,58,21986.0,50,0.36,10.67,0.36,2,0.78,1210,0.09,710.0,0.06,1,0.5,2,0.5,2.57,79.0,83.0,1.82,58.0,large,36,80,61,24,Average,25-40,>50,14,"hip problems, dwarfism","Hip dysplasia, Osteochondrodysplasia - skeletal dwarfism",19069,0.2,1210,mid-price,550,2350,8.75,7.5,10,11.67,609.0,6499,11160,1046,784,121,126,244,177,200
Chow Chow,non-sporting,1.76,68,15898.0,77,0.05,9.01,0.13,2,0.78,515,0.89,466.0,0.23,1,0.5,2,0.5,2.51,80.0,85.0,1.76,68.0,medium,no data,no data,47,18.5,Lowest,80-100,<25,38,"eye, hip problems","Entropion, Hip dysplasia",13745,0.92,515,budget,200,750,5.75,4,7.5,7.67,400.0,3606,9424,1046,784,121,126,244,177,200
Bloodhound,hound,1.66,48,13824.0,75,0.07,6.75,0.03,2,0.78,608,0.76,710.0,0.06,2,0.75,2,0.5,2.54,81.0,84.0,1.66,48.0,large,39,85,64,25,Lowest,80-100,<25,82,"fatal stomach bloat, skin problems","Gastric dilatation-volvulus, Hip dysplasia",11979,0.98,608,budget,200,1000,8.75,7.5,10,11.67,609.0,4111,7060,1046,784,121,126,244,177,200
Irish Wolfhound,hound,1.66,79,18435.0,41,0.53,6.94,0.05,3,0.67,1333,0.07,1217.0,0.02,2,0.75,1,1.0,3.04,82.0,70.0,1.66,79.0,large,no data,no data,81,32,Average,25-40,>50,121,"heart, liver, hip problems","Dilated cardiomyopathy, Hip dysplasia, Portosystemic shunt",16039,0.69,1333,mid-price,800,1550,15,15,15,20.01,1044.0,7246,7259,1046,784,121,126,244,177,200
Bullmastiff,working,1.64,40,13936.0,69,0.14,7.57,0.08,2,0.78,980,0.3,466.0,0.23,2,0.75,1,1.0,3.01,83.0,72.0,1.64,40.0,large,52,115,65,25.5,Fair,40-80,>30,103,"eye, hip problems","Entropion, Hip dysplasia",12128,0.97,980,mid-price,600,1600,5.75,4,7.5,7.67,400.0,3030,7918,1046,784,121,126,244,177,200
Mastiff,working,1.57,28,13581.0,72,0.1,6.5,0.02,2,0.78,900,0.38,701.0,0.2,2,0.75,1,1.0,2.94,84.0,73.0,1.57,28.0,large,79,175,76,30,Lowest,80-100,<25,94,"hip, heart problems","Hip dysplasia, Pulmonic stenosis",11224,1.0,900,mid-price,150,1200,-,-,-,10,512.0,3325,6799,1046,784,121,126,244,177,200
Great Dane,working,1.53,19,14662.0,48,0.39,6.96,0.06,4,0.56,1040,0.25,710.0,0.06,2,0.75,1,1.0,2.91,85.0,75.0,1.53,19.0,large,no data,no data,76,30,Average,25-40,>50,667,"heart, spinal, hip problems, fatal stomach bloat","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Gastric dilatation-volvulus, Hip dysplasia",12759,0.95,1040,mid-price,500,2500,8.75,7.5,10,11.67,609.0,4239,7280,1046,784,121,126,244,177,200
Saint Bernard,working,1.42,49,20022.0,65,0.18,7.78,0.09,3,0.67,875,0.43,1217.0,0.02,1,0.5,1,1.0,2.67,86.0,81.0,1.42,49.0,large,70,155,67,26.5,Fair,40-80,>30,93,"heart, hip disorders, fatal stomach bloat","Dilated cardiomyopathy, Gastric dilatation-volvulus, Hip dysplasia",17336,0.51,875,mid-price,450,1500,15,15,15,20.01,1044.0,8124,8137,1046,784,121,126,244,177,200
Bulldog,non-sporting,0.99,6,13479.0,78,0.03,6.29,0.01,5,0.44,2680,0.01,466.0,0.23,2,0.75,2,0.5,1.86,87.0,87.0,0.99,6.0,medium,20,45,no data,no data,Lowest,80-100,<25,197,"breathing, hip, heart problems, 'dry eye'","brachycephalic syndrome, Hip dysplasia, Keratoconjunctivitis sicca (KCS) - ""dry eye"", Pulmonic stenosis, Ventricular septal defect (VSD)",11977,0.99,2680,high-end,1500,5500,5.75,4,7.5,7.67,400.0,2518,6579,1046,784,121,126,244,177,200
Airedale Terrier,terrier,,55,14000.0,29,,11.45,,1,,733,,,,-,,-,,,,,,,medium,27.22,60,58,23,Above average,15-25,>70,307,hip problems,hip dysplasia,no data,,733,mid-price,475,1200,no data,no data,no data,no data,,no data,11976,1046,784,121,126,244,177,200
American English Coonhound,hound,,33,20054.5,no data,,11.5,,no data,,283,,,,-,,-,,,,,,,large,no data,no data,62,24.5,no data,no data,no data,-,no data,no data,no data,,283,budget,100,350,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
American Eskimo Dog,non-sporting,,116,20054.5,no data,,11.84,,0,,560,,,,-,,-,,,,,,,small,no data,no data,36,14,no data,no data,no data,-,none,none,no data,,560,budget,300,950,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
American Foxhound,hound,,173,20054.5,46,,11.13,,no data,,757,,,,-,,-,,,,,,,medium,no data,no data,58,23,Average,25-40,>50,-,no data,no data,no data,,757,mid-price,250,1000,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
American Staffordshire Terrier,terrier,,72,20054.5,34,,11.13,,1,,1043,,,,-,,-,,,,,,,medium,no data,no data,46,18,Above average,15-25,>70,-,skin problems,Demodicosis/ Demodectic mange,no data,,1043,mid-price,250,1500,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
American Water Spaniel,sporting,,157,20054.5,44,,11.13,,0,,730,,,,-,,-,,,,,,,medium,16,35,42,16.5,Average,25-40,>50,-,none,none,no data,,730,mid-price,600,1250,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Anatolian Shepherd Dog,working,,111,20054.5,no data,,10.75,,no data,,no data,,,,2,,2,,,,,,,large,52,115,71,28,no data,no data,no data,23,no data,no data,no data,,no data,no data,no data,no data,8.75,7.5,10,11.67,,6548,11244,1046,784,121,126,244,177,200
Bearded Collie,herding,,112,20054.5,34,,12.77,,0,,no data,,,,1,,1,,,,,,,medium,no data,no data,53,21,Above average,15-25,>70,551,none,none,no data,,no data,no data,no data,no data,5.75,4,7.5,7.67,,5111,13357,1046,784,121,126,244,177,200
Beauceron,herding,,144,20054.5,no data,,9.73,,no data,,967,,,,-,,-,,,,,,,large,no data,no data,65,25.75,no data,no data,no data,-,no data,no data,no data,,967,mid-price,950,"1,000",no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Belgian Malinois,herding,,74,20054.5,22,,9.73,,0,,1080,,,,2,,1,,,,,,,large,no data,no data,61,24,Excellent,15-May,>85,-,none,none,no data,,1080,mid-price,550,2000,5.75,4,7.5,7.67,,no data,no data,1046,784,121,126,244,177,200
Belgian Sheepdog,herding,,118,20054.5,15,,9.73,,4,,no data,,,,-,,-,,,,,,,large,no data,no data,61,24,Excellent,15-May,>85,-,"cataracts + other eye problems, muscular dystrophy","Cataracts, Pannus - chronic superficial keratitis, Progressive retinal atrophy, X-linked muscular dystrophy",no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Black and Tan Coonhound,hound,,109,20054.5,44,,9.73,,0,,325,,,,-,,-,,,,,,,large,no data,no data,64,25,Average,25-40,>50,-,none,none,no data,,325,budget,200,500,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Black Russian Terrier,working,,128,20054.5,no data,,11.0,,0,,2833,,,,-,,-,,,,,,,large,no data,no data,71,28,no data,no data,no data,4,none,none,no data,,2833,high-end,2500,3000,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Bluetick Coonhound,hound,,136,20054.5,no data,,9.73,,0,,370,,,,-,,-,,,,,,,large,28,62.5,61,24,no data,no data,no data,-,none,none,no data,,370,budget,200,500,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Boykin Spaniel,sporting,,138,20054.5,no data,,11.13,,no data,,531,,,,-,,-,,,,,,,medium,no data,no data,41,16,no data,no data,no data,-,no data,no data,no data,,531,budget,200,800,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Canaan Dog,herding,,168,20054.5,no data,,14.67,,0,,no data,,,,2,,1,,,,,,,medium,20,45,55,21.5,no data,no data,no data,2,none,none,no data,,no data,no data,no data,no data,5.75,4,7.5,7.67,,5872,15344,1046,784,121,126,244,177,200
Cane Corso,working,,67,20000.0,no data,,11.0,,no data,,1070,,,,-,,-,,,,,,,large,no data,no data,64,25,no data,no data,no data,-,no data,no data,no data,,1070,mid-price,900,1500,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
